,bullishHorn,bearHorn,bullishHigh,bearHigh,bullishLow,bearLow,bullishHarami,bearHarami,is_EMA8_above_EMA24,is_EMA8_above_EMA48,is_EMA24_above_EMA48,is_price_above_EMA8,is_price_above_EMA24,is_price_above_EMA48,%Distance_price_EMA8,%Distance_price_EMA24,%Distance_price_EMA48,Dif_price_EMA8,Dif_price_EMA24,Dif_price_EMA48,target
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.224988883948423,7.280400949617521,7.567016395202181,-1.8666666666666671,-2.208000000000002,-2.302040816326528,1
3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.120786157896093,14.928041213973861,15.717835188997705,-3.512962962962966,-4.469360000000005,-4.749916701374424,0
4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.379114570043394,11.32446667046601,12.540163479105285,-2.094526748971198,-3.3574112000000085,-3.769511938053018,1
5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.304078513838697,7.6765890871458184,9.192282558482368,-0.9290763603109298,-2.260818304000008,-2.752389001805952,1
6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.0648122310473633,1.8172576101009081,3.4403530670838753,0.5840517197581647,-0.5343528396800075,-1.0286180221403995,1
7,0,0,1,0,0,0,0,0,0,0,0,1,1,1,7.333375094389775,5.001879797318262,3.560045887370261,2.1187068931452373,1.477195387494394,1.0660194481510494,1
8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.7218894294395651,1.1625274486656791,2.513980391206575,0.20899425022407314,-0.3429802435051599,-0.7519813456510356,1
9,0,0,1,0,0,0,0,0,0,0,0,1,1,1,8.132103929240555,7.887967619795258,6.836013445870116,2.4103288612853895,2.3432581759752473,2.050752586824519,1
10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.685323822387705,10.30126761140771,11.53243103200686,-2.511966441222473,-3.0330024781027696,-3.4427475187601537,0
11,0,0,1,0,0,0,0,0,0,0,0,1,1,1,4.008994709369809,3.0758040794770802,1.8532783228220784,1.1729149901603009,0.908037720145451,0.553691155474958,1
12,0,0,1,0,0,0,0,0,1,1,0,1,1,1,10.852450458552841,12.173129579481037,11.481234448948474,3.2767116590135643,3.632194702533816,3.4470098838229184,1
13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5.052027437626615,4.885572665557199,5.645987001110818,-1.5036687096561145,-1.4515808736688882,-1.6910313359249507,1
14,0,0,1,0,0,0,0,0,1,1,0,1,1,1,9.05295102814499,11.065724815343058,10.739835535326566,2.766035448045244,3.319745596224621,3.231459739010763,1
15,0,0,1,0,0,0,0,0,1,1,1,1,1,1,10.963257223222426,15.130692549071743,15.553470730092737,3.458027570701855,4.599765948526649,4.710991994561347,0
16,0,0,1,0,0,0,0,0,1,1,1,1,1,1,11.305867591600016,17.522762715555853,18.82016310823649,3.685132554990332,5.409384672644517,5.746461709069049,1
17,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4.766554736159613,11.066317780811177,12.767507762024431,1.5751030983258119,3.4494338988329503,3.919667353596843,1
18,0,0,0,0,1,0,0,0,1,1,1,1,1,1,3.691507387326593,10.120668803058003,12.213817060652598,1.2328579653645235,3.1826791869263147,3.769272767735753,1
19,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0.6933776526334751,4.814715748173903,6.939341972431732,-0.2311104713831469,1.520464851972207,2.1478738792567427,0
20,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0.25946726622647487,4.759353218566138,7.0070193330812245,-0.08641925552022656,1.5092276638144284,2.175307598470752,1
21,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1.3343301312684288,6.259158239047039,8.727677046226999,0.4461183568176068,1.9956894507092748,2.719580757716848,0
22,0,0,1,0,0,0,0,0,1,1,1,1,1,1,9.099853009276387,15.838240269975504,19.202460139895106,3.123647610858143,5.120434294652533,6.032863175769222,0
23,0,0,1,0,0,0,0,0,1,1,1,1,1,1,10.257360368261908,18.64623237308816,22.895143761381668,3.627281475111886,6.12759955108033,7.263766719615376,0
24,0,0,0,0,0,0,1,0,1,1,1,1,1,1,8.764567874845325,18.1512397944527,23.12161872422625,3.1789967028648007,6.060591586993901,7.40851093514128,0
25,0,0,0,0,0,1,0,0,1,1,1,1,1,1,6.666018198835904,16.433352129073427,21.941155645261055,2.464775213339287,5.566544260034384,7.09653089697224,0
26,1,0,0,0,0,0,0,0,1,1,1,1,1,1,6.046018858285047,16.13834153084794,22.198099653400966,2.274825165930558,5.544420719231631,7.248101064442764,1
27,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0.9788012022581473,9.940423739899247,15.896108195363972,0.36930846239043547,3.4448670616931025,5.225729592424692,0
28,0,0,1,0,0,0,0,0,1,1,1,1,1,1,2.4955523034279143,11.28977698820621,17.594634968209554,0.9483510263036692,3.95127769675765,5.827740629468586,0
29,0,0,1,0,0,0,0,0,1,1,1,1,1,1,3.321383747368873,12.072300031133295,18.724260734928848,1.2742730204584092,4.269975481017035,6.25171039969436,0
30,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1.0394751153744068,9.05779224961969,15.67145613651436,0.3999901270232087,3.229177442535672,5.267558954808877,1
31,0,0,0,0,0,1,0,0,1,1,1,0,1,1,2.012565406266109,4.726647553696745,11.013364478254019,-0.7700076789819477,1.6920432471328155,3.719291242367696,0
32,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1.3365577529040613,7.967992900575189,14.534984147687148,0.5133273607918198,2.8722797873621886,4.939116089617997,0
33,0,0,1,0,0,0,0,0,1,1,1,1,1,1,2.7990769573470278,9.497377174078135,16.31169585459832,1.0836990583936341,3.4520974043732124,5.581601147184607,0
34,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1.7265392543180667,8.12296181660825,14.933718051885362,0.6717659343061584,2.9735296120233485,5.1427602840342175,0
35,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0.28316162389958843,6.1084998883317105,12.778103868019004,0.11026239334923105,2.248047243061478,4.424484354073641,0
36,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1.8265823761961,3.0617816967521554,9.393284049311749,-0.7075736940617077,1.129803463616561,3.265525809009418,1
37,0,0,0,0,0,0,0,0,1,1,1,0,1,1,2.4007807584713885,1.6178184165771003,7.660467694522393,-0.923668428714663,0.5978191865272322,2.6718308780294393,0
38,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0.00741619634275202,3.766543881603023,9.836538818021532,-0.002853222333627059,1.3963936516050595,3.44522553606906,1
39,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1.141590956923424,2.0718132223700025,7.874961016523802,-0.4377747284817133,0.7694821594766523,2.767461228474403,0
40,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0.1984212225680797,2.7417228725787863,8.451031999431631,-0.07604701104132516,1.0207235867185176,2.9806260762917773,1
41,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1.2137955451948865,1.2360448836305762,6.672901314139536,-0.4635921196988093,0.4606656997810319,2.360192358892114,0
42,0,0,1,0,0,0,0,0,1,1,1,1,1,1,4.018821614543221,7.164795710666583,12.999432864318653,1.552761684678707,2.687012443798544,4.623449813631211,0
43,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5.59151463858873,9.625845859364468,15.787095225577502,2.1954813103056665,3.6404514482946624,5.6529008416462645,0
44,0,0,1,0,0,0,0,0,1,1,1,1,1,1,5.451229983553606,10.22363622536103,16.631432657441756,2.1742632413488536,3.901215332431086,5.997680399130097,0
45,0,1,0,0,0,0,0,0,1,1,1,1,1,1,3.8079567670902383,8.854839588919454,15.320109560963816,1.5355380766046594,3.4051181058366,5.561040382839067,0
46,0,0,1,0,0,0,0,0,1,1,1,1,1,1,4.804388204431046,10.419670826895237,17.184244934947905,1.9643073929147405,4.043508657369678,6.283650979457882,0
47,0,0,0,0,0,1,0,0,1,1,1,1,1,1,3.1937086915308517,8.876943181510226,15.669419004748748,1.3177946389336839,3.4716279647801045,5.768195837439194,1
48,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0.09843290913069902,4.92278491141578,11.404506167515839,-0.0406041697182431,1.9334977275976968,4.218677639992698,0
49,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0.3379232314963186,5.022253677792146,11.453380698155941,0.13953009021914653,1.9812179093898763,4.257507124074628,1
50,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0.5069713705166254,4.9026608827338265,11.267062294560768,0.20963451461489058,1.9423204766386846,4.208425200643013,1
51,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0.0759417461240907,3.916515197463924,10.121404136691226,-0.03139537752175414,1.556934838507587,3.796856825106566,1
52,0,0,0,0,0,1,0,0,1,1,1,0,1,1,2.8093994122343617,0.247424656123706,5.985457592443339,-1.1521964047391435,0.0983800514269717,2.2510667506124165,0
53,0,0,0,0,0,0,0,0,1,1,1,0,1,1,2.2756469570643656,0.13506325794149684,5.625637159987765,-0.9272638703526681,0.05370964731281447,2.120819128138443,0
54,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0.7599378720225695,1.3488384427143258,6.725201779091726,-0.30898301027429653,0.5370128755277861,2.54262242903075,0
55,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0.6112577571640175,1.216535047381672,6.407813325862992,-0.2480978968800045,0.48485184548555793,2.4292500849886878,1
56,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1.034188006868319,0.449612208031949,5.40010047289857,-0.418520586462229,0.17926369784670726,2.051933754989143,0
57,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0.34344124870143666,0.9666196888419,5.77131073010112,-0.13884934502618052,0.3857226020189728,2.1983854384589776,1
58,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0.30975027702999797,1.5787748924067762,6.274378908590772,0.12533939831297403,0.6308647938574552,2.39641052260351,0
59,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1.2435149988541383,0.32042749470686044,4.077437263158248,-0.5014026902010258,-0.1280043896511458,1.5600264196400957,0
60,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0.5436535247803465,0.21182628054503327,4.45409663156208,-0.21886875904524317,0.084635961520938,1.7073722800629483,0
61,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0.752887745364082,0.1965902268182091,3.8406247910900406,-0.30245347925741584,-0.07853491540073776,1.4746223910807856,0
62,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0.8781919227477522,0.5265484463393781,3.3044851745803014,-0.3519082616446525,-0.21025212216867573,1.2705561710366737,0
63,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0.392334182098531,0.13883870426568146,3.5384715058400698,-0.1570397590569499,-0.05543195239518184,1.362574286504568,0
64,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1.4184588617927447,1.4429884935976893,1.972570680879907,-0.5654753681554041,-0.5753973962035701,0.7602243156268287,1
65,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1.8741198498928504,2.23167472926616,0.9210586459956176,-0.7431475085653148,-0.8881656045072859,0.35511311907063003,0
66,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1.6418454402928446,2.2656453722195704,0.6593738058481314,-0.6480036177730213,-0.8999123561467073,0.2542921754351042,0
67,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1.2816671187051463,2.0881786001875295,0.6322904195929637,-0.5040028138234618,-0.8279193676549781,0.24391290296836843,0
68,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0.4039568035795001,1.226303264817776,1.351646428989467,-0.15866885519602647,-0.4856858182425796,0.5217123763166001,1
69,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1.4887849302752363,2.5041502891703455,0.1697098705881995,-0.5822979984857994,-0.9896309527831733,-0.06550037373713735,1
70,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2.7907668929681337,4.2047814729256565,2.1778287552609616,-1.0828984432667355,-1.6556604765605272,-0.8397656646050109,1
71,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3.1202057208825837,4.964514107963164,3.2376535807988995,-1.2000321225407973,-1.9464076384356872,-1.2467140048252148,0
72,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2.095506901265743,4.1836030221872935,2.685107153105841,-0.8011360953095092,-1.634295027360828,-1.0327664944241803,0
73,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.7607164139770477,4.004113587275382,2.7283026496485676,-0.6697725185740637,-1.5587514251719696,-1.0481637803660533,0
74,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.9734576003891593,4.385801893598023,3.3457410037451556,-0.746489736668714,-1.7008513111582104,-1.283544850555188,0
75,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.5831638300583466,4.0969275171121255,3.263711501748236,-0.596158684075661,-1.583183206265545,-1.2503389382876264,0
76,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.007017940601765,4.668932069860675,4.063890857155235,-0.7514567542810724,-1.79692854976431,-1.5542026550922117,0
77,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.16929335411230345,2.7001598066717674,2.219719032798645,-0.0633552533297248,-1.0367742657831656,-0.8481127508027342,1
78,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2.202990726027921,4.876815104940067,4.623511614272762,-0.8192763081453407,-1.8646323245205139,-1.7630877405658865,0
79,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.1104422029898955,3.8013975628356946,3.7111946296392717,-0.4116593507797077,-1.4486617385588758,-1.4129617103387062,0
80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5498338656150104,3.1437338976541604,3.186131658445895,-0.2035128283842127,-1.1947687994741614,-1.2114122527738544,0
81,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5381367089047395,1.7814460597684996,1.8971526220328045,0.19949002236783286,-0.6759872955162294,-0.7207423649055329,1
82,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.12700228168349298,2.2737869322005704,2.4787731589946578,-0.04706331593613555,-0.8611083118749363,-0.9407120642971449,1
83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.363388959949781,3.5604487643924245,3.9005295873820844,-0.5032714679503272,-1.344219646924941,-1.4778258575911423,1
84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.5615279537580604,6.159499959392925,6.7225199827799855,-1.3014333639613582,-2.3130820751709464,-2.5397513327914965,1
85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.181869988734428,6.140327381507438,6.925479853876378,-1.1522259497477236,-2.2936355091572693,-2.6087410743102097,0
86,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.387877981536194,6.697691207146285,7.712042878283008,-1.2150646275815618,-2.48734466842469,-2.895527152909793,0
87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.648537630445444,7.322993184412238,8.57808860612196,-1.2950502658967693,-2.702357094950706,-3.2089750242195905,0
88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.6606136351648173,6.5498716084432616,8.024506218509842,-0.9372613179197131,-2.403368527354658,-2.9916699211902227,0
89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8127540975227694,4.615188482773168,6.247040596810425,-0.285647691715333,-1.6866990451662858,-2.3228262509375526,0
90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2561171336110481,3.8307459472582237,5.566675435091843,-0.0899482046674791,-1.3953631215529825,-2.0649557917156116,0
91,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.477653558319156,1.6069871044244033,3.37914445218371,0.5211513963697385,-0.5845340718287488,-1.251692290012933,0
92,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2.628981541623488,0.24140575086100483,1.481313439536225,0.9342288638431313,0.08782865391754768,-0.5483579108287273,1
93,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.3609482763777556,0.5620817383760117,2.226200432066737,0.48551133854465434,-0.20439763839586078,-0.8233228940602046,0
