,bullishHorn,bearHorn,bullishHigh,bearHigh,bullishLow,bearLow,bullishHarami,bearHarami,is_EMA8_above_EMA24,is_EMA8_above_EMA48,is_EMA24_above_EMA48,is_price_above_EMA8,is_price_above_EMA24,is_price_above_EMA48,%Distance_price_EMA8,%Distance_price_EMA24,%Distance_price_EMA48,Dif_price_EMA8,Dif_price_EMA24,Dif_price_EMA48,target_up
274,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.312366165529975,6.43831718807659,9.557822008124496,-1.689400866372921,-4.911227373247584,-7.54229687813492,0
275,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.50833429257882,6.746541187424114,10.000159933418018,-1.8195340071789445,-5.116329183387791,-7.857917413721253,1
276,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.4069735602283333,6.743517814247618,10.135999032791233,-1.7340820055836161,-5.084222848716763,-7.9304513968346555,0
277,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.2545085441008302,3.8127377459558818,7.329968301936195,0.18349177343496592,-2.8650850208194214,-5.7171676663516,0
278,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.3916964000647562,3.2967690469917725,6.82921634013741,0.28271582378275184,-2.470278219153883,-5.311160822827048,0
279,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0664845784794483,2.1653533119061557,5.6885373805380945,0.7721123073865925,-1.6194559616215685,-4.413358340262661,0
280,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.233364202295185,1.526703591442369,4.997151717435568,0.8960873501895747,-1.1402994846918517,-3.868731469231534,0
281,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0564817981011227,3.7323370849615807,7.144075176069594,-0.7652653942969891,-2.7786755259164977,-5.514089368446562,0
282,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.04802744575369262,2.4379494950380893,5.860453939538522,0.03479358221345308,-1.8111814838431854,-4.512085720754854,0
283,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.2780563128607818,0.8069697374067707,4.1835336303346535,0.9292838972771307,-0.59908696513574,-3.2152658954179287,0
284,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.9801314657270723,4.190318297949591,7.493664913257329,-1.4316680798955588,-3.099560007924879,-5.740969328258004,0
285,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.1133366057998721,3.3674225647041927,6.7060758879508064,-0.8024085065854365,-2.4835952072909038,-5.122970580165855,0
286,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8572312836403041,3.0938558886151184,6.437388446001068,-0.6163177273442244,-2.2757075907076256,-4.904277903424386,0
287,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.875411369981596,5.398088061136745,8.75034197267901,-2.050469343489951,-3.9520509834510165,-6.641654315529507,0
288,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.72650406352471,5.533083493126924,8.97069814136242,-1.929253933825521,-4.031486904774937,-6.783015363875236,0
289,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.544832852044997,4.438284980390389,7.959084558245175,-1.0883086151976187,-3.2213679523929386,-5.997790246982362,0
290,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6285624695855433,3.434325485958292,6.993095666241197,-0.4420178118203637,-2.4852585162015117,-5.254206971595323,0
291,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0561310196181566,3.8206079247617937,7.381858432597216,-0.7404582980825012,-2.755637834905386,-5.52893321765265,1
292,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.848089168128238,8.125691682228087,11.710499540790904,-3.3525786762863987,-5.819586808112959,-8.7275481883607,0
293,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.1188904574327023,5.601633662940269,9.364903532216319,-1.4564500815560848,-3.9924198634639225,-6.95172989495822,1
294,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.093052603461686,9.071144984202833,12.90372984199619,-3.4505722856547294,-6.414626274386819,-9.526353164551765,0
295,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.312226396130306,8.749784495243391,12.784019040780588,-2.8860006666203475,-6.140656172435868,-9.386910178243511,1
296,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.872818180625761,8.65187700859575,12.86788670385123,-2.563556074038054,-6.026603678641003,-9.397036293417251,0
297,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.985314421341931,9.074171109523276,13.45692353217182,-2.6083213909184906,-6.271275384349735,-9.771238893685918,1
298,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.082774545798481,6.117591502175476,10.710580685987695,-0.7064721929366016,-4.20557335360175,-7.74180057149465,0
299,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.31793967456569006,5.061526079070574,9.729648919340834,-0.2072561500618093,-3.4643274853136177,-7.003767895107103,0
300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0127161449914404,6.670990769769634,11.345809743770934,-1.304532561159185,-4.539581286488534,-8.127899817755797,0
301,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.5572449107261632,8.401938453228498,13.138220599729735,-2.2824142142349118,-5.67601478356945,-9.35961819254127,1
302,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.850014457496206,12.299512527679802,17.115039772815205,-4.3107666110716,-8.22113360088391,-12.104531735702857,1
303,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.409438484479885,13.622203720851424,18.67948451550326,-4.566151808611238,-8.998642912813196,-13.10679574649049,0
